City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,necochea,-38.5473,-58.7368,10.02,69,100,7.45,AR,1686586222
1,zhalantun,48.0,122.7167,16.3,72,60,1.69,CN,1686586679
2,lebu,-37.6167,-73.65,9.38,69,2,7.75,CL,1686586637
3,nguti,5.3299,9.4185,25.27,92,78,1.06,CM,1686586679
4,bilibino,68.0546,166.4372,10.83,94,100,1.33,RU,1686586634
5,island harbour,50.724,-1.2758,24.04,83,23,2.59,GB,1686586679
6,badiyah,22.45,58.8,33.79,37,100,5.6,OM,1686586679
7,yellowknife,62.456,-114.3525,5.31,75,75,4.63,CA,1686586398
8,revda,56.801,59.9303,10.25,55,100,2.31,RU,1686586679
9,guerrero negro,27.9769,-114.0611,18.79,68,4,6.8,MX,1686586648
10,magadan,59.5667,150.8,5.55,96,98,2.05,RU,1686586680
11,waitangi,-43.9535,-176.5597,9.34,76,100,9.47,NZ,1686586634
12,monrovia,6.3005,-10.7969,28.87,89,100,3.67,LR,1686586680
13,tura,25.5198,90.2201,24.33,92,16,2.37,IN,1686586666
14,port mathurin,-19.6833,63.4167,24.91,70,7,8.58,MU,1686586635
15,reggane,26.7158,0.1714,43.95,5,0,7.01,DZ,1686586680
16,hawaiian paradise park,19.5933,-154.9731,21.69,96,100,0.0,US,1686586639
17,haiku-pauwela,20.9219,-156.3051,23.91,72,0,4.12,US,1686586647
18,happy valley-goose bay,53.3168,-60.3315,19.17,48,40,1.54,CA,1686586680
19,college,64.8569,-147.8028,13.97,56,75,5.14,US,1686586680
20,tubarjal,30.4999,38.216,33.08,14,0,7.3,SA,1686586680
21,port-aux-francais,-49.35,70.2167,6.11,91,100,12.42,TF,1686586634
22,labrador city,52.9463,-66.9114,18.95,26,40,4.63,CA,1686586664
23,cabo san lucas,22.8909,-109.9124,33.17,23,0,3.09,MX,1686586579
24,cova figueira,14.8905,-24.2934,24.38,65,40,6.75,CV,1686586682
25,port elizabeth,-33.918,25.5701,15.17,71,0,9.77,ZA,1686586634
26,spring creek,40.7266,-115.5859,14.11,62,48,1.35,US,1686586682
27,punta arenas,-53.15,-70.9167,7.01,75,20,11.32,CL,1686586636
28,papatowai,-46.5619,169.4708,9.98,90,85,4.42,NZ,1686586637
29,kasempa,-13.4584,25.8338,22.13,33,31,0.73,ZM,1686586683
30,atafu village,-8.5421,-172.5159,28.33,76,24,6.12,TK,1686586649
31,alaghsas,17.0187,8.0168,38.94,35,40,4.12,NE,1686586684
32,taoudenni,22.6783,-3.9836,43.08,7,4,4.1,ML,1686586684
33,edinburgh of the seven seas,-37.0676,-12.3116,17.06,87,100,17.57,SH,1686586634
34,bredasdorp,-34.5322,20.0403,12.12,74,84,7.56,ZA,1686586640
35,blackmans bay,-43.0167,147.3167,8.74,80,91,3.01,AU,1686586638
36,ouadda,8.0777,22.4007,25.48,76,76,2.66,CF,1686586684
37,olonkinbyen,70.9221,-8.7187,1.04,86,38,4.56,SJ,1686586638
38,bethel,41.3712,-73.414,24.47,77,75,3.6,US,1686586401
39,selfoss,63.9331,-20.9971,12.25,62,100,3.82,IS,1686586665
40,dunedin,-45.8742,170.5036,9.89,83,93,2.24,NZ,1686586670
41,northam,51.0333,-4.2167,18.55,87,81,3.79,GB,1686586685
42,hafar al-batin,28.4328,45.9708,41.32,11,0,3.09,SA,1686586685
43,jhelum,32.9331,73.7264,37.86,24,0,1.7,PK,1686586219
44,yuzhno-kurilsk,44.0306,145.8556,10.73,99,65,3.55,RU,1686586644
45,tiksi,71.6872,128.8694,0.16,89,70,2.64,RU,1686586637
46,dombivli,19.2167,73.0833,30.97,66,63,6.74,IN,1686586685
47,ancud,-41.8697,-73.8203,7.42,74,0,2.79,CL,1686586592
48,pandan,14.0453,124.1694,27.74,81,98,3.64,PH,1686586685
49,adamstown,-25.066,-130.1015,20.14,62,36,3.57,PN,1686586686
50,mount gambier,-37.8333,140.7667,10.8,78,98,4.37,AU,1686586686
51,puerto natales,-51.7236,-72.4875,7.25,53,40,5.14,CL,1686586637
52,invercargill,-46.4,168.35,10.13,89,93,3.66,NZ,1686586637
53,voinjama,8.4219,-9.7478,25.84,78,89,2.37,LR,1686586686
54,udachny,66.4167,112.4,8.43,52,38,3.62,RU,1686586640
55,grytviken,-54.2811,-36.5092,-2.25,86,100,4.02,GS,1686586637
56,albany,42.6001,-73.9662,27.18,66,100,1.79,US,1686586637
57,port blair,11.6667,92.75,26.02,94,75,4.63,IN,1686586687
58,deir ez-zor,35.3359,40.1408,33.43,18,1,4.52,SY,1686586687
59,juneau,58.3019,-134.4197,10.23,95,75,5.14,US,1686586687
60,longyearbyen,78.2186,15.6401,2.91,75,100,4.12,SJ,1686586636
61,talnakh,69.4865,88.3972,8.07,96,100,3.87,RU,1686586343
62,pontevedra,42.431,-8.6444,21.5,72,89,1.96,ES,1686586687
63,dolores,-36.3132,-57.6792,10.27,61,5,5.38,AR,1686586641
64,vorgashor,67.5833,63.95,6.84,46,82,5.93,RU,1686586669
65,tekeli,44.83,78.8239,17.59,42,67,4.16,KZ,1686586687
66,el nido,11.1858,119.3956,28.12,79,100,2.31,PH,1686586687
67,ribeira grande,38.5167,-28.7,21.22,88,75,6.69,PT,1686586644
68,la foa,-21.7108,165.8276,18.97,69,7,1.66,NC,1686586641
69,santana,-0.0583,-51.1817,32.1,70,40,3.09,BR,1686586687
70,sola,-13.8833,167.55,26.73,76,74,7.6,VU,1686586688
71,gafsa,34.425,8.7842,34.12,33,40,3.6,TN,1686586688
72,margaret river,-33.95,115.0667,14.44,80,42,5.03,AU,1686586649
73,palikir - national government center,6.9248,158.1611,27.41,83,100,3.09,FM,1686586688
74,arno,60.1167,18.6333,13.21,35,15,6.55,SE,1686586688
75,ilulissat,69.2167,-51.1,3.01,87,100,4.12,GL,1686586637
76,petropavlovsk-kamchatsky,53.0452,158.6483,7.33,81,0,4.0,RU,1686586644
77,tra mhor,52.1624,-7.1524,20.1,70,40,2.57,IE,1686586688
78,itoman,26.1247,127.6694,26.43,96,75,5.66,JP,1686586688
79,isafjordur,66.0755,-23.124,14.02,51,20,6.69,IS,1686586650
80,ushuaia,-54.8,-68.3,6.79,81,40,18.01,AR,1686586404
81,bridgewater,44.3835,-64.5155,27.79,44,82,4.12,CA,1686586688
82,lompoc,34.6391,-120.4579,17.23,72,100,0.89,US,1686586639
83,whitehorse,60.7161,-135.0538,13.34,61,78,4.47,CA,1686586120
84,codrington,-38.2667,141.9667,12.53,63,93,8.75,AU,1686586688
85,patnongon,10.9132,121.9937,26.9,84,93,1.8,PH,1686586689
86,ulladulla,-35.35,150.4667,11.42,68,46,2.22,AU,1686586689
87,beloyarskiy,63.7119,66.6722,8.54,52,36,3.07,RU,1686586689
88,nikolayevsk-on-amure,53.1406,140.73,8.51,97,100,1.06,RU,1686586689
89,saudarkrokur,65.7461,-19.6394,16.16,46,98,2.61,IS,1686586650
90,bikenibeu village,1.3673,173.1241,27.98,83,40,2.57,KI,1686586640
91,mount pearl,47.5166,-52.7813,8.86,89,100,8.23,CA,1686586689
92,verdal,63.7933,11.4817,21.02,60,6,5.45,NO,1686586689
93,nogliki,51.8333,143.1667,4.72,99,100,2.13,RU,1686586690
94,yanbu,24.0891,38.0637,35.02,36,0,7.72,SA,1686586574
95,codo,-4.4553,-43.8856,33.34,42,13,2.58,BR,1686586690
96,freetown,8.484,-13.2299,27.08,80,89,3.07,SL,1686586690
97,yamada,39.4667,141.95,16.41,97,100,1.52,JP,1686586665
98,iqaluit,63.7506,-68.5145,1.85,69,75,7.2,CA,1686586640
99,vilyuchinsk,52.9306,158.4028,8.15,67,0,3.81,RU,1686586668
100,zeya,53.75,127.2667,16.42,91,89,1.19,RU,1686586690
101,tartagal,-22.5164,-63.8013,11.62,33,100,3.14,AR,1686586690
102,thompson,55.7435,-97.8558,12.09,82,75,4.12,CA,1686586652
103,goba,7.0167,39.9833,11.89,85,82,0.77,ET,1686586577
104,crane,31.3974,-102.3501,32.43,27,0,5.87,US,1686586690
105,lerwick,60.1545,-1.1494,16.0,87,100,1.37,GB,1686586691
106,hithadhoo,-0.6,73.0833,28.87,72,62,2.85,MV,1686586647
107,katsuura,35.1333,140.3,21.48,93,96,2.23,JP,1686586691
108,ladario,-19.0047,-57.6017,14.16,82,100,5.14,BR,1686586691
